Current Procedural Terminology (CPT®) codes, descriptions, and other data are
copyright 1966, 1970, 1973, 1977, 1981, 1983-2024 by the American
Medical Association. All rights reserved.

CPT® is a registered trademark of the American Medical Association.

U.S. GOVERNMENT RIGHTS. CPT is commercial technical data
developed exclusively at the private expense by the American
Medical Association, 330 N. Wabash Ave., Suite 39300,
Chicago, IL 60611-5885. Use does not grant the Federal Government
a direct license to use CPT based on FAR 52.227-14 (Data Rights – General)
and DFARS 252.227-7015 (Technical Data Commercial Items).

This file may not be sold, duplicated, or given
away in whole or in part without the express written
consent of the American Medical Association.

To license additional CPT® products or to request a license
for the distribution of products with CPT® content, visit our website at
https://www.ama-assn.org/practice-management/cpt/ama-cpt-licensing-overview,
or purchase other CPT® products, contact customer service at 800-621-8335.

For the most current CPT® coding information, to learn about the early release
of CPT® codes, and to review the CPT® Errata to bring yourself up to date on corrections,
please visit https://www.ama-assn.org/practice-management/errata-technical-corrections.

Concept Id	CPT Code	Long	Medium	Short	Consumer	Spanish Consumer	Current Descriptor Effective Date	Test Name	Lab Name	Manufacturer Name
1034968	10004	Fine needle aspiration biopsy, without imaging guidance; each additional lesion (List separately in addition to code for primary procedure)	FINE NEEDLE ASPIRATION BX W/O IMG GDN EA ADDL	FNA BX W/O IMG GDN EA ADDL	Fine needle aspiration biopsy, each additional growth	Biopsia por aspiración con aguja fina, cada crecimiento tumoral adicional				
1034969	10005	Fine needle aspiration biopsy, including ultrasound guidance; first lesion	FINE NEEDLE ASPIRATION BX W/US GDN 1ST LESION	FNA BX W/US GDN 1ST LES	Fine needle aspiration biopsy using ultrasound guidance, first growth	Biopsia por aspiración con aguja fina utilizando orientación por ultrasonido, primer crecimiento tumoral				
1034970	10006	Fine needle aspiration biopsy, including ultrasound guidance; each additional lesion (List separately in addition to code for primary procedure)	FINE NEEDLE ASPIRATION BX W/US GDN EA ADDL	FNA BX W/US GDN EA ADDL	Fine needle aspiration biopsy using ultrasound guidance, each additional growth	Biopsia por aspiración con aguja fina utilizando orientación por ultrasonido, cada crecimiento tumoral adicional				
1034971	10007	Fine needle aspiration biopsy, including fluoroscopic guidance; first lesion	FINE NEEDLE ASPIRATION BX W/FLUOR GDN 1ST LESION	FNA BX W/FLUOR GDN 1ST LES	Fine needle aspiration biopsy using fluoroscopic guidance, first growth	Biopsia por aspiración con aguja fina utilizando orientación fluoroscópica, primer crecimiento tumoral				
1034972	10008	Fine needle aspiration biopsy, including fluoroscopic guidance; each additional lesion (List separately in addition to code for primary procedure)	FINE NEEDLE ASPIRATION BX W/FLUOR GDN EA ADDL	FNA BX W/FLUOR GDN EA ADDL	Fine needle aspiration biopsy using fluoroscopic guidance, each additional growth	Biopsia por aspiración con aguja fina utilizando orientación fluoroscópica, cada crecimiento tumoral adicional				
1034973	10009	Fine needle aspiration biopsy, including CT guidance; first lesion	FINE NEEDLE ASPIRATION BX W/CT GDN 1ST LESION	FNA BX W/CT GDN 1ST LES	Fine needle aspiration biopsy of growth using CT guidance, first growth	Biopsia de un crecimiento tumoral por aspiración con aguja fina utilizando orientación por TAC, primer crecimiento tumoral				
1034974	10010	Fine needle aspiration biopsy, including CT guidance; each additional lesion (List separately in addition to code for primary procedure)	FINE NEEDLE ASPIRATION BX W/CT GDN EA ADDL	FNA BX W/CT GDN EA ADDL	Fine needle aspiration biopsy of growth using CT guidance, each additional growth	Biopsia de un crecimiento tumoral por aspiración con aguja fina utilizando orientación por TAC, cada crecimiento tumoral adicional				
1034975	10011	Fine needle aspiration biopsy, including MR guidance; first lesion	FINE NEEDLE ASPIRATION BX W/MR GDN 1ST LESION	FNA BX W/MR GDN 1ST LES	Fine needle aspiration biopsy of growth using MRI guidance, first growth	Biopsia de un crecimiento tumoral por aspiración con aguja fina utilizando orientación por IRM, primer crecimiento tumoral				
1034976	10012	Fine needle aspiration biopsy, including MR guidance; each additional lesion (List separately in addition to code for primary procedure)	FINE NEEDLE ASPIRATION BX W/MR GDN EA ADDL	FNA BX W/MR GDN EA ADDL	Fine needle aspiration biopsy of growth using MRI guidance, each additional growth	Biopsia de un crecimiento tumoral por aspiración con aguja fina utilizando orientación por IRM, cada crecimiento tumoral adicional				
1021256	10030	Image-guided fluid collection drainage by catheter (eg, abscess, hematoma, seroma, lymphocele, cyst), soft tissue (eg, extremity, abdominal wall, neck), percutaneous	IMG-GUIDED FLU COLLJ DRG CATH SOFT TISS PERQ	IMG GID FLU COLL DRG SFT TIS	Drainage of fluid collection in soft tissue using imaging guidance	Drenaje de acumulación de líquido en tejido blando utilizando orientación por imagenología				
1027681	10035	Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; first lesion	PLMT SFT TISS LOCLZJ DEV PERQ 1ST LESION	PLMT SFT TISS LOCLZJ DEV 1ST	Placement of soft tissue locating device using X-ray, first growth	Colocación de dispositivo de localización de tejidos blandos usando rayos X, primer crecimiento tumoral				
1027682	10036	Placement of soft tissue localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous, including imaging guidance; each additional lesion (List separately in addition to code for primary procedure)	PLMT SFT TISS LOCLZJ DEV PERQ EACH ADDL LESION	PLMT SFT TISS LOCLZJ DEV EA	Placement of soft tissue locating device using X-ray, each additional growth	Colocación de dispositivo de localización de tejidos blandos usando rayos X, cada crecimiento tumoral adicional				
1003151	10040	Acne surgery (eg, marsupialization, opening or removal of multiple milia, comedones, cysts, pustules)	ACNE SURGERY	ACNE SURGERY	Acne surgery	Cirugía de acné				
1003153	10060	Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); simple or single	INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE	I&D ABSCESS SIMPLE/SINGLE	Simple or single drainage of skin abscess	Drenaje simple o único de absceso en la piel				
1003154	10061	Incision and drainage of abscess (eg, carbuncle, suppurative hidradenitis, cutaneous or subcutaneous abscess, cyst, furuncle, or paronychia); complicated or multiple	INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE	I&D ABSCESS COMP/MULTIPLE	Complicated or multiple drainage of skin abscess	Drenaje complicado o múltiple de absceso en la piel				
1003156	10080	Incision and drainage of pilonidal cyst; simple	INCISION & DRAINAGE PILONIDAL CYST SIMPLE	I&D PILONIDAL CYST SIMPLE	Simple drainage of cyst of tailbone	Drenaje simple de un quiste en el coxis				
1003157	10081	Incision and drainage of pilonidal cyst; complicated	INCISION & DRAINAGE PILONIDAL CYST COMPLICATED	I&D PILONIDAL CYST COMP	Complicated drainage of cyst of tailbone	Drenaje complicado de un quiste en el coxis				
1003159	10120	Incision and removal of foreign body, subcutaneous tissues; simple	INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE	INC&RMVL FB SUBQ TISS SMPL	Removal of foreign body from tissue, accessed beneath the skin, simple	Remoción de una masa extraña en el tejido, acceso por debajo de la piel, simple				
1003160	10121	Incision and removal of foreign body, subcutaneous tissues; complicated	INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMP	INC&RMVL FB SUBQ TISS COMP	Removal of foreign body from tissue, accessed beneath the skin, complex	Remoción de una masa extraña en el tejido, acceso por debajo de la piel, compleja				
1003161	10140	Incision and drainage of hematoma, seroma or fluid collection	I&D HEMATOMA SEROMA/FLUID COLLECTION	I&D HMTMA SEROMA/FLUID COLLJ	Drainage of blood or fluid accumulation	Drenaje de sangre o de líquido acumulado				
1003162	10160	Puncture aspiration of abscess, hematoma, bulla, or cyst	PUNCTURE ASPIRATION ABSCESS HEMATOMA BULLA/CYST	PNXR ASPIR ABSC HMTMA BULLA	Aspiration of abscess, blood, or cyst	Aspiración de absceso, sangre o quiste				
1003163	10180	Incision and drainage, complex, postoperative wound infection	INCISION & DRAINAGE COMPLEX PO WOUND INFECTION	I&D COMPLEX PO WOUND INFCTJ	Complex drainage of wound infection after surgery	Drenaje complejo de la infección de una herida después de una cirugía				
1003166	11000	Debridement of extensive eczematous or infected skin; up to 10% of body surface	DBRDMT EXTENSV ECZMT/INFCT SKIN UP 10% BDY SURF	DBRDMT ECZ/INFECTED SKIN<10%	Removal of inflamed or infected skin, up to 10% of body surface	Remoción de piel inflamada o infectada, hasta el 10 % de la superficie corporal				
1003167	11001	Debridement of extensive eczematous or infected skin; each additional 10% of the body surface, or part thereof (List separately in addition to code for primary procedure)	DBRDMT EXTNSVE ECZMT/INFCT SKN EA ADDL 10%	DBRDMT ECZ/INFCT SKN EA ADDL	Removal of inflamed or infected skin, each additional 10% of body surface or less	Remoción de piel inflamada o infectada, cada 10 % adicional de la superficie corporal o menos				
1003169	11004	Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia and perineum	DBRDMT SKN SBQ T/M/F NECRO INFCTJ XTRNL GENT&PER	DBRDMT SKIN XTRNL GENT&PER	Removal of infected skin, tissue or muscle of genitals	Remoción de piel, tejido o músculo infectado de los genitales				
1003170	11005	Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; abdominal wall, with or without fascial closure	DBRDMT SKN SUBQ T/M/F NECRO INFCTJ ABDL WALL	DBRDMT SKIN ABDOMINAL WALL	Removal of infected skin, tissue or muscle of abdomen	Remoción de piel, tejido o músculo infectado del abdomen				
1003171	11006	Debridement of skin, subcutaneous tissue, muscle and fascia for necrotizing soft tissue infection; external genitalia, perineum and abdominal wall, with or without fascial closure	DBRDMT SKN SUBQ T/M/F NECRO INFCTJ GENT PER&ABDL	DBRDMT SKIN XTRNL GENT PER	Removal of infected skin, tissue or muscle of genitals, perineum, or abdomen	Remoción de piel, tejido o músculo infectado de los genitales, el perineo o el abdomen				
1003172	11008	Removal of prosthetic material or mesh, abdominal wall for infection (eg, for chronic or recurrent mesh infection or necrotizing soft tissue infection) (List separately in addition to code for primary procedure)	RMVL PROSTC MATRL/MESH ABDL WALL FOR INFECTION	RMV PRSTC MTRL/MESH ABD WALL	Removal of infected artificial material or mesh from abdomen	Remoción de material artificial infectado o malla del abdomen				
1003174	11010	Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin and subcutaneous tissues	DBRDMT W/RMVL FM FX&/DISLC SKIN&SUBQ TISSUS	DEBRIDE SKIN AT FX SITE	Removal of foreign material from skin and tissue at open broken and/or dislocated bone	Remoción de material extraño en piel y tejido de un hueso roto y/o dislocado que está abierto				
1003175	11011	Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, and muscle	DBRDMT W/RMVL FM FX&/DISLC SKN SUBQ T/M/F MUSC	DEBRIDE SKIN MUSC AT FX SITE	Removal of foreign material from skin, tissue, and muscle at open broken and/or dislocated bone	Remoción de material extraño en piel, tejido y músculo de un hueso roto y/o dislocado que está abierto				
1003176	11012	Debridement including removal of foreign material at the site of an open fracture and/or an open dislocation (eg, excisional debridement); skin, subcutaneous tissue, muscle fascia, muscle, and bone	DBRDMT FX&/DISLC SUBQ T/M/F BONE	DEB SKIN BONE AT FX SITE	Removal of foreign material from skin, tissue, muscle, and bone at open broken and/or dislocated bone	Remoción de material extraño en piel, tejido, músculo y hueso de un hueso roto y/o dislocado que está abierto				
1003180	11042	Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less	DEBRIDEMENT SUBCUTANEOUS TISSUE 1ST 20 SQ CM/<	DBRDMT SUBQ TIS 1ST 20SQCM/<	Removal of skin and tissue, 20.0 sq cm or less	Remoción de piel y tejido, 20.0 cm2 o menos				
1020308	11045	Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)	DEBRIDEMENT SUBCUTANEOUS TISSUE EA ADDL 20 SQ CM	DBRDMT SUBQ TISS EACH ADDL	Removal of skin and tissue, each additional 20.0 sq cm or less	Remoción de piel y tejido, cada 20.0 cm2 adicionales o menos				
1003181	11043	Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); first 20 sq cm or less	DEBRIDEMENT MUSCLE &/FASCIA 1ST 20 SQ CM/<	DBRDMT MUSC&/FSCA 1ST 20/<	Removal of muscle and/or tissue, 20.0 sq cm or less	Remoción de músculo y/o tejido, 20.0 cm2 o menos				
1020309	11046	Debridement, muscle and/or fascia (includes epidermis, dermis, and subcutaneous tissue, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)	DEBRIDEMENT MUSCLE &/FASCIA EA ADDL 20 SQ CM	DBRDMT MUSC&/FSCA EA ADDL	Removal of muscle and/or tissue, each additional 20.0 sq cm or less	Remoción de músculo y/o tejido, cada 20.0 cm2 adicionales o menos				
1003182	11044	Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); first 20 sq cm or less	DEBRIDEMENT BONE 1ST 20 SQ CM/<	DBRDMT BONE 1ST 20 SQ CM/<	Removal of bone, 20.0 sq cm or less	Remoción de hueso, 20.0 cm2 o menos				
1020310	11047	Debridement, bone (includes epidermis, dermis, subcutaneous tissue, muscle and/or fascia, if performed); each additional 20 sq cm, or part thereof (List separately in addition to code for primary procedure)	DEBRIDEMENT BONE EACH ADDITIONAL 20 SQ CM	DBRDMT BONE EACH ADDL	Removal of bone, each additional 20.0 sq cm or less	Remoción de hueso, cada 20.0 cm2 adicionales o menos				
1003185	11055	Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); single lesion	PARING/CUTTING BENIGN HYPERKERATOTIC LESION 1	PARING/CUTG B9 HYPRKER LES 1	Removal of noncancer thickened skin growth, 1 growth	Remoción de un crecimiento tumoral cutáneo engrosado no canceroso, 1 crecimiento tumoral				
1003186	11056	Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); 2 to 4 lesions	PARING/CUTTING BENIGN HYPERKERATOTIC LESION 2-4	PARNG/CUTG B9 HYPRKR LES 2-4	Removal of noncancer thickened skin growth, 2-4 growths	Remoción de un crecimiento tumoral cutáneo engrosado no canceroso, 2-4 crecimientos tumorales				
1003187	11057	Paring or cutting of benign hyperkeratotic lesion (eg, corn or callus); more than 4 lesions	PARING/CUTTING BENIGN HYPERKERATOTIC LESION >4	PARNG/CUTG B9 HYPRKR LES >4	Removal of noncancer thickened skin growth, more than 4 growths	Remoción de un crecimiento tumoral cutáneo engrosado no canceroso, más de 4 crecimientos tumorales				
1034977	11102	Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); single lesion	TANGENTIAL BIOPSY SKIN SINGLE LESION	TANGNTL BX SKIN SINGLE LES	Biopsy of related skin growth, first growth	Biopsia de un crecimiento tumoral cutáneo relacionado, primer crecimiento tumoral				
1034978	11103	Tangential biopsy of skin (eg, shave, scoop, saucerize, curette); each separate/additional lesion (List separately in addition to code for primary procedure)	TANGENTIAL BIOPSY SKIN EA SEP/ADDITIONAL LESION	TANGNTL BX SKIN EA SEP/ADDL	Biopsy of related skin growth, each additional growth	Biopsia de un crecimiento tumoral cutáneo relacionado, cada crecimiento tumoral adicional				
1034979	11104	Punch biopsy of skin (including simple closure, when performed); single lesion	PUNCH BIOPSY SKIN SINGLE LESION	PUNCH BX SKIN SINGLE LESION	Punch biopsy, first skin growth	Biopsia con sacabocados, primer crecimiento tumoral cutáneo				
1034980	11105	Punch biopsy of skin (including simple closure, when performed); each separate/additional lesion (List separately in addition to code for primary procedure)	PUNCH BIOPSY SKIN EA SEP/ADDITIONAL LESION	PUNCH BX SKIN EA SEP/ADDL	Punch biopsy, each additional skin growth	Biopsia con sacabocados, cada crecimiento tumoral cutáneo adicional				
